date, pm25, pm10, o3, no2, so2, co
2020/6/15, 26, 11, 30, 5, , 2
2020/6/16, 29, 14, 32, 5, , 1
2020/6/17, 35, 14, 20, 7, , 2
2020/6/18, 30, 9, 25, 3, 1, 1
2020/6/19, 17, 9, 25, 2, , 1
2020/6/20, 19, 19, 22, , 1, 1
2020/6/21, 37, 15, 25, 3, , 1
2020/6/22, 29, 14, 34, 3, 1, 1
2020/6/23, 31, 18, 59, 7, 1, 1
2020/6/24, 47, 19, 55, 6, 1, 1
2020/6/25, 52, 15, 39, 3, 1, 1
2020/6/26, 40, 8, 25, , 2, 
2020/6/27, 15, 12, 23, , 2, 
2020/6/28, 18, 13, 23, , 1, 
2020/6/29, 21, 9, 21, 2, 2, 
2020/6/30, 16, 8, 23, 2, 2, 
2020/5/1, 28, 6, 29, 4, 3, 1
2020/5/2, 26, 10, 33, 5, 3, 4
2020/5/3, 33, 17, 37, 4, 3, 4
2020/5/4, 52, 13, 34, 3, 2, 2
2020/5/5, 30, 17, 44, 5, 2, 2
2020/5/6, 39, 23, 39, 7, 3, 3
2020/5/7, 62, 21, 43, 8, 2, 4
2020/5/8, 57, 19, 46, 5, 3, 7
2020/5/9, 51, 14, 33, 1, 3, 20
2020/5/10, 28, 10, 30, 2, 3, 21
2020/5/11, 18, 11, 32, 6, 3, 2
2020/5/12, 24, 8, 32, 4, 3, 
2020/5/13, 21, 11, 35, 4, 3, 
2020/5/14, 25, 10, 33, 4, 3, 
2020/5/15, 26, 9, 33, 3, 3, 1
2020/5/16, 22, 10, 30, 2, 3, 
2020/5/17, 25, 11, 32, 2, 3, 
2020/5/18, 27, 8, 28, 2, 3, 1
2020/5/19, 22, 12, 39, 4, 1, 2
2020/5/20, 31, 13, 35, 4, 12, 3
2020/5/21, 39, 21, 30, 3, , 1
2020/5/22, 42, 20, 28, 1, , 
2020/5/23, 34, 19, 27, , , 
2020/5/24, 39, 16, 30, 2, 1, 
2020/5/25, 33, 11, 24, 2, 1, 
2020/5/26, 26, 11, 34, 2, 1, 
2020/5/27, 33, 15, 42, 2, 1, 
2020/5/28, 35, 15, 48, 3, 1, 
2020/5/29, 28, 15, 54, 3, 1, 7
2020/5/30, 41, 15, 52, 1, 1, 9
2020/5/31, 41, 12, 43, 1, 1, 4
2020/4/1, 35, 15, 28, 3, 1, 2
2020/4/2, 32, 11, 31, 3, 1, 1
2020/4/3, 27, 15, 34, 3, 1, 1
2020/4/4, 41, 17, 34, 2, 1, 1
2020/4/5, 44, 17, 32, 3, 1, 1
2020/4/6, 32, 16, 36, 5, 1, 1
2020/4/7, 38, 19, 41, 9, 1, 1
2020/4/8, 50, 34, 51, 8, 1, 1
2020/4/9, 79, 32, 49, 5, 1, 1
2020/4/10, 79, 38, 49, 7, 1, 2
2020/4/11, 89, 34, 39, 4, 1, 2
2020/4/12, 85, 14, 34, 1, 1, 
2020/4/13, 29, 16, 37, 4, 1, 
2020/4/14, 37, 22, 40, 5, 1, 1
2020/4/15, 57, 33, 41, 6, 1, 1
2020/4/16, 75, 25, 24, 5, 1, 1
2020/4/17, 72, 7, 24, 2, 1, 1
2020/4/18, 25, 17, 39, 2, 1, 
2020/4/19, 54, 16, 38, 1, 1, 
2020/4/20, 34, 20, 39, 2, 1, 
2020/4/21, 44, 26, 42, 2, 2, 
2020/4/22, 56, 62, 46, 2, 2, 1
2020/4/23, 65, 33, 58, 4, 2, 8
2020/4/24, 76, 30, 44, 4, 2, 20
2020/4/25, 76, 26, 39, 3, 2, 19
2020/4/26, 67, 23, 32, 2, 2, 9
2020/4/27, 63, 11, 24, 4, 2, 9
2020/4/28, 36, 12, 30, 4, 2, 9
2020/4/29, 31, 7, 32, 6, 2, 2
2020/4/30, 19, 12, 31, 5, 3, 4
2020/3/2, 13, 8, 27, 11, 3, 
2020/3/3, 13, 16, 22, 12, 2, 
2020/3/4, 25, 10, 20, 15, 2, 
2020/3/5, 21, 14, 20, 12, 2, 
2020/3/6, 41, 16, 22, 16, 2, 1
2020/3/7, 40, 20, 29, 13, 2, 
2020/3/8, 38, 12, 33, 4, 2, 
2020/3/9, 15, 15, 30, 7, 3, 
2020/3/10, 23, 5, 31, 5, 3, 
2020/3/11, 9, 10, 35, 6, 3, 
2020/3/12, 16, 17, 31, 5, 3, 
2020/3/13, 23, 18, 29, 8, 3, 
2020/3/14, 25, 7, 27, 9, 3, 
2020/3/15, 15, 6, 30, 6, 4, 
2020/3/16, 12, 12, 26, 11, 3, 
2020/3/17, 22, 9, 25, 10, 2, 
2020/3/18, 15, 6, 23, 7, 3, 
2020/3/19, 10, 5, 27, 7, 1, 
2020/3/20, 14, 8, 26, 5, , 1
2020/3/21, 15, 11, 28, 2, , 2
2020/3/22, 18, 13, 27, 3, , 2
2020/3/23, 36, 17, 28, 6, , 2
2020/3/24, 46, 24, 30, 9, , 2
2020/3/25, 61, 27, 34, 10, , 3
2020/3/26, 67, 26, 34, 6, 1, 3
2020/3/27, 67, 34, 39, 1, , 3
2020/3/28, 81, 19, 39, , , 2
2020/3/29, 20, 8, 30, 4, , 2
2020/3/30, 19, 11, 34, 2, , 2
2020/3/31, 21, 12, 31, 6, , 1
2020/2/2, 37, 22, 30, 3, 3, 2
2020/2/3, 39, 21, 31, 6, 3, 2
2020/2/4, 36, 14, 27, 5, 2, 1
2020/2/5, 19, 22, 12, 17, 2, 2
2020/2/6, 39, 24, 14, 16, 2, 3
2020/2/7, 62, 23, 24, 10, 2, 2
2020/2/8, 59, 16, 28, 5, 3, 
2020/2/9, 26, 18, 30, 1, 3, 1
2020/2/10, 31, 18, 32, 3, 3, 
2020/2/11, 24, 20, 30, 5, 3, 
2020/2/12, 24, 14, 27, 8, 4, 
